item	itemLabel	countryLabel	official_website	geo
http://www.wikidata.org/entity/Q795751	BDH-Klinik Greifswald	Germany	http://www.bdh-klinik-greifswald.de/	Point(13.41166667 54.08944444)
http://www.wikidata.org/entity/Q810414	Basler Hospital	Switzerland		Point(9.8525 46.8133)
http://www.wikidata.org/entity/Q820012	Bergmannsheil und Kinderklinik Buer	Germany	https://www.bergmannsheil-buer.de/	Point(7.06045 51.5708)
http://www.wikidata.org/entity/Q820562	German Center for Pediatric and Adolescent Rheumatology	Germany	http://www.rheuma-kinderklinik.de	Point(11.1025 47.4875)
http://www.wikidata.org/entity/Q828946	Berufsgenossenschaftliche Unfallklinik Frankfurt am Main	Germany	http://www.bgu-frankfurt.de/	Point(8.70942 50.1453)
http://www.wikidata.org/entity/Q828948	Berufsgenossenschaftliche Unfallklinik Murnau	Germany	http://www.bgu-murnau.de/en/	Point(11.2172 47.6719)
http://www.wikidata.org/entity/Q828950	Berufsgenossenschaftliche Unfallklinik Ludwigshafen	Germany	http://www.bgu-ludwigshafen.de/	Point(8.38803 49.4863)
http://www.wikidata.org/entity/Q828953	Berufsgenossenschaftliches Unfallkrankenhaus Hamburg	Germany	http://www.buk-hamburg.de/	Point(10.17652778 53.50666667)
http://www.wikidata.org/entity/Q831329	Bethlehem Gesundheitszentrum Stolberg	Germany	http://www.bethlehem.de	Point(6.22933 50.7728)
http://www.wikidata.org/entity/Q831377	Bethlem Royal Hospital	United Kingdom	https://www.slam.nhs.uk/our-services/hospital-care/bethlem-royal-hospital	Point(-0.029444444 51.380833333)
http://www.wikidata.org/entity/Q834559	Klinikum der Stadt Ludwigshafen am Rhein	Germany	http://www.klilu.de/content/index_ger.html	Point(8.42606389 49.48988611)
http://www.wikidata.org/entity/Q835404	Hohenasperg	Germany		Point(9.13833 48.9103)
http://www.wikidata.org/entity/Q854250	Bezirkskliniken Schwaben	Germany	http://www.bezirkskliniken-schwaben.de	Point(10.83149 48.38702)
http://www.wikidata.org/entity/Q854251	Bezirksklinikum Obermain	Germany		Point(10.9709 50.052)
http://www.wikidata.org/entity/Q854254	Bezirksklinikum Mainkofen	Germany	http://www.mainkofen.de/	Point(12.89746638 48.807414715)
http://www.wikidata.org/entity/Q854257	medbo district hospital Regensburg	Germany	https://www.medbo.de/standorte/regensburg/	Point(12.088405 49.000851)
http://www.wikidata.org/entity/Q854261	Bezirkskrankenhaus Bayreuth	Germany	https://www.gebo-med.de/standorte/bezirkskrankenhaus-bayreuth	Point(11.5683 49.9575)
http://www.wikidata.org/entity/Q854262	Hospital Lienz	Austria	http://www.kh-lienz.at/	Point(12.7644 46.8353)
http://www.wikidata.org/entity/Q854264	Bezirkskrankenhaus Augsburg	Germany	http://www.bkh-augsburg.de/	Point(10.8335 48.3859)
http://www.wikidata.org/entity/Q856077	Kwong Wah Hospital	People's Republic of China	http://www.ha.org.hk/kwh/	Point(114.172 22.315)
http://www.wikidata.org/entity/Q856882	Bicêtre	France		Point(2.355114 48.809517)
http://www.wikidata.org/entity/Q873309	Sanatorium Purkersdorf	Austria		Point(16.197330555 48.204438888)
http://www.wikidata.org/entity/Q873715	Narrenturm	Austria	http://www.nhm-wien.ac.at/forschung/anthropologie/pathologisch-anatomische_sammlung_im_narrenturm	Point(16.3533 48.2186)
http://www.wikidata.org/entity/Q883813	Rechts der Isar Hospital	Germany	http://www.mri.tum.de/	Point(11.598779271 48.137465006)
http://www.wikidata.org/entity/Q909489	Dr. Bugyi István Kórház	Hungary	http://www.szentesi-korhaz.hu/	Point(20.25342 46.6627)
http://www.wikidata.org/entity/Q911561	Hannover Medical School	Germany	http://www.mh-hannover.de/	Point(9.80472222 52.38388889)
http://www.wikidata.org/entity/Q913126	Careggi University Hospital	Italy	http://www.aou-careggi.toscana.it	Point(11.2463 43.8054)
http://www.wikidata.org/entity/Q913148	Hospital of Santa Maria Nuova	Italy	http://www.asf.toscana.it	Point(11.259894444 43.773408333)
http://www.wikidata.org/entity/Q913230	National Institute of Radiological Sciences	Japan	http://www.nirs.qst.go.jp/ENG/index.shtml	Point(140.10166667 35.63555556)
http://www.wikidata.org/entity/Q919201	Klinikum Worms	Germany	http://www.klinikum-worms.de	Point(8.318333333 49.65)
http://www.wikidata.org/entity/Q921264	University of Texas Medical Branch	United States of America	http://www.utmb.edu	Point(-94.7771 29.3107)
http://www.wikidata.org/entity/Q928606	Affenstein	Germany		Point(8.66914 50.128)
http://www.wikidata.org/entity/Q939883	Pitié-Salpêtrière Hospital	France	https://pitiesalpetriere.aphp.fr/	Point(2.365 48.837)
http://www.wikidata.org/entity/Q941557	Ocean Road Hospital	Tanzania		Point(39.2964 -6.8108)
http://www.wikidata.org/entity/Q958440	Hôtel-Dieu de Château-Thierry	France	http://www.hotel-dieu-chateau-thierry.fr	Point(3.40452778 49.04602778)
http://www.wikidata.org/entity/Q964636	Institut Jules Bordet	Belgium	http://www.bordet.be	Point(4.346602 50.833407)
http://www.wikidata.org/entity/Q971451	Hévíz Spa	Hungary		Point(17.184380555 46.790688888)
http://www.wikidata.org/entity/Q975653	NewYork–Presbyterian Hospital	United States of America	https://www.nyp.org/	Point(-73.9427 40.8413)
http://www.wikidata.org/entity/Q976078	Münsingen clinic buildings	Switzerland		Point(7.55323 46.88045)
http://www.wikidata.org/entity/Q983090	Centracare	Canada	http://www.ahsc.health.nb.ca/Programs/MentalHealth/tertiary.shtml	Point(-66.1265 45.2542)
http://www.wikidata.org/entity/Q986149	Institute of Mental Health	Singapore	https://www.imh.com.sg/	Point(103.8825 1.3818)
